1 53
65 87
19 92
17 83
28 88
35 82
75 84
70 51
6 15
40 37
70 90
51 75
13 13
65 27
27 17
31 58
16 96
54 77
39 40
57 18
50 48
15 73
34 33
1 6
64 47
17 44
77 26
20 95
18 49
42 8
12 80
52 45
46 86
48 68
62 10
61 69
28 39
22 28
26 94
7 55
78 21
29 19
77 67
23 0
33 50
55 98
29 91
74 29
43 3
24 1
76 41
47 38
38 20
3 65
35 71
70 63
69 60
79 5
9 4
0 14
60 54
67 22
2 85
32 36
25 46
44 12
63 78
8 43
59 93
21 66
36 16
9 70
14 59
45 32
4 97
71 52
73 76
49 99
32 61
56 11
14 89
30 57
68 56
5 2
27 31
23 74
19 9
10 30
37 62
53 23
41 42
53 7
11 34
58 35
42 81
72 72
58 64
78 24
12 25
66 79
