5
3 2 3 4 4 2 0 4 2 1 4 0 0 3 1 1 1 1 3 3 1 1 1 2 3 1 4 0 2 3 0 2 2 0 3 1 4 4 0 3 4 2 4 1 2 0 1 1 4 0 2 4 4 3 0 3 4 3 0 2 1 2 0 4 0 1 0 4 4 3 4 0 1 1 4 3 2 0 1 0
28 59 47 96 31
0 94 87 37 78
67 47 16 0 38
48 59 90 19 86
45 36 45 31 57
1 84 90 25 65
34 62 66 57 87
73 28 11 88 75
48 73 6 33 98
36 50 55 6 40
17 19 52 33 63
33 12 22 60 39
57 96 21 98 67
12 12 63 65 53
24 62 87 38 92
1 88 74 50 3
67 86 99 71 3
63 13 60 33 37
39 55 51 32 63
86 20 32 27 12
66 88 41 80 49
27 96 94 46 94
60 19 83 66 76
30 25 45 34 53
60 67 6 33 77
86 3 71 59 44
90 6 43 60 7
65 51 27 38 77
1 17 1 22 53
86 44 98 37 88
44 36 68 50 14
2 87 7 71 6
32 48 68 34 49
27 10 52 1 29
87 52 68 19 75
41 77 53 17 26
8 74 60 44 60
1 88 68 14 47
86 49 30 3 33
4 21 5 65 96
2 0 12 57 26
24 86 95 38 39
99 84 50 4 20
81 39 70 98 84
92 24 89 1 51
10 41 62 30 26
41 11 16 92 61
87 19 16 9 94
67 0 8 57 10
25 63 67 40 89
65 43 27 83 91
81 97 89 14 11
68 53 64 97 17
44 60 73 61 57
15 17 33 26 92
30 55 11 26 48
52 50 44 92 21
29 74 49 65 44
84 40 71 4 32
95 62 13 72 32
22 59 15 9 15
14 34 91 51 22
19 66 19 51 52
92 63 99 67 18
60 93 11 0 37
72 30 0 72 54
38 83 71 93 83
82 69 63 67 98
39 40 90 61 58
24 95 31 99 34
6 59 78 86 58
13 60 25 93 62
63 77 88 12 13
77 30 24 28 87
9 42 83 56 50
74 97 80 9 72
47 24 12 23 83
42 66 19 98 97
4 90 97 7 11
25 63 16 49 13
4 41 98 11 49
73 74 9 55 78
48 90 75 61 54
29 12 81 25 96
60 35 53 80 25
78 24 92 75 9
6 43 11 5 64
82 25 51 96 12
32 30 67 6 47
41 75 64 44 44
61 29 94 52 48
0 81 47 67 70
74 96 87 75 69
60 41 37 52 89
32 41 50 44 39
60 25 30 97 98
69 38 37 80 53
29 45 34 49 9
36 81 84 33 49
64 89 32 66 53
