27 81 
1 2 -190447
2 3 186653
3 1 -89849
4 5 -171963
5 6 110184
6 4 39051
7 8 22017
8 9 14463
9 7 28509
1 4 136793
2 5 38120
3 6 166055
4 7 -22457
5 8 -141522
6 9 29014
7 1 -166014
8 2 -29371
9 3 -58492
1 10 -43830
2 11 -60430
3 12 51111
4 13 -113751
5 14 44666
6 15 -44912
7 16 -9584
8 17 -82458
9 18 -25882
10 11 34620
11 12 -10995
12 10 -175606
13 14 23675
14 15 158376
15 13 76926
16 17 172987
17 18 41429
18 16 56198
10 13 -108716
11 14 88254
12 15 -75532
13 16 -110609
14 17 -51902
15 18 34762
16 10 -132898
17 11 105116
18 12 -78688
10 19 -68133
11 20 68849
12 21 48641
13 22 -5619
14 23 97685
15 24 9448
16 25 -138320
17 26 16672
18 27 33770
19 20 96999
20 21 -5526
21 19 18180
22 23 157855
23 24 31858
24 22 -9476
25 26 -20585
26 27 -18974
27 25 75597
19 22 -45533
20 23 5849
21 24 -176537
22 25 177465
23 26 113545
24 27 18228
25 19 -16823
26 20 103747
27 21 12915
19 1 98812
20 2 136157
21 3 105847
22 4 -47049
23 5 -76475
24 6 -3375
25 7 89771
26 8 83717
27 9 -41723
