363,,
0.6089,-0.5702,0.4485
0.662,-0.5187,0.4497
0.6383,-0.5781,0.3817
0.7149,-0.4868,0.4062
0.7199,-0.4894,0.3929
0.6971,-0.5285,0.367
0.7209,-0.4697,0.4109
0.7275,-0.474,0.3928
0.5431,-0.5956,0.4671
0.6129,-0.5091,0.5022
0.5783,-0.6089,0.3828
0.6505,-0.5722,0.3339
0.5242,-0.5673,0.5148
0.6905,-0.5294,0.322
0.6358,-0.4721,0.4991
0.4648,-0.6165,0.4791
0.6924,-0.4478,0.4501
0.5995,-0.5928,0.3331
0.5488,-0.5168,0.5325
0.4245,-0.5805,0.5563
0.4968,-0.6296,0.3956
0.7246,-0.4584,0.373
0.7064,-0.4962,0.3312
0.3789,-0.5635,0.5941
0.3458,-0.602,0.5599
0.4615,-0.5236,0.5756
0.6437,-0.5446,0.3204
0.3255,-0.5675,0.6077
0.5331,-0.6091,0.3204
0.3844,-0.5409,0.5991
0.6376,-0.4459,0.4899
0.3694,-0.6132,0.5086
0.5721,-0.4519,0.5433
0.4231,-0.494,0.6105
0.6003,-0.5632,0.298
0.4239,-0.6299,0.3926
0.5344,-0.5994,0.2539
0.6993,-0.4595,0.3663
0.6953,-0.4288,0.4201
0.4498,-0.6302,0.316
0.2368,-0.5598,0.6292
0.5092,-0.4448,0.5843
0.3419,-0.4972,0.6394
0.6849,-0.4807,0.3142
0.4764,-0.611,0.2317
0.277,-0.5804,0.5748
0.6847,-0.3844,0.4603
0.4575,-0.4361,0.613
0.5925,-0.5474,0.239
0.1484,-0.5443,0.6521
0.7227,-0.3955,0.3835
0.6041,-0.3758,0.5406
0.3223,-0.5961,0.5076
0.6664,-0.483,0.2674
0.5501,-0.3674,0.5787
0.3554,-0.6069,0.429
0.2545,-0.4812,0.6659
0.3666,-0.4222,0.6547
0.396,-0.6089,0.2299
0.7261,-0.4069,0.3041
0.388,-0.6087,0.3278
0.0745,-0.5266,0.6542
0.4984,-0.3631,0.6073
0.2035,-0.5616,0.5829
0.7056,-0.3101,0.4478
0.6365,-0.3034,0.5206
0.5264,-0.547,0.205
0.7453,-0.3199,0.3693
0.6347,-0.4833,0.2312
0.2414,-0.5758,0.5205
0.1038,-0.546,0.5954
0.7074,-0.4104,0.256
0.2791,-0.5864,0.4387
0.3136,-0.5967,0.229
0.2763,-0.41,0.6814
0.1506,-0.5675,0.5226
